year,Germany,France,Britain
1870,6.44,6.99,6.96
1880,6.44,7.33,6.37
1890,5.92,7.26,6.09
1900,6.11,7.26,6.50
1910,6.04,6.99,6.73
1920,2.59,3.30,4.41
1930,3.07,3.44,5.08
1940,2.66,3.17,3.99
1950,1.66,2.19,3.13
1960,2.09,2.80,3.13
1970,2.29,3.11,3.14
1980,2.84,3.20,3.50
1990,3.13,3.41,4.28
2000,3.77,4.74,4.96
2010,4.12,5.75,5.22
